valence,field,avg_rank_mean,avg_rank_std,n_models,avg_similarity_mean,avg_similarity_std
negative,AI,2.058333333333333,1.1620579967793292,12,0.7185890451073647,0.14945709315401448
negative,Earth_Science,2.920833333333333,1.1274384347903101,12,0.7079816843072573,0.1363091829276737
negative,Mechanical_Engineering,3.7375000000000003,1.734558497663939,12,0.6961263502637545,0.14480378838722052
negative,Electrical_Engineering,3.775,1.295183384698862,12,0.6883369932572047,0.14821830879321066
negative,Civil_Engineering,4.345833333333333,1.7715502114010633,12,0.6804740071296692,0.15547865567065214
negative,Computer_Science,4.591666666666667,1.7887061516553515,12,0.6751421680053076,0.15795440389791943
negative,Literature,8.083333333333334,1.7970092999877396,12,0.5811215177178383,0.20025328546350354
negative,Archaeology,9.520833333333334,1.9752397246149567,12,0.567876801888148,0.19887111641185445
negative,Mathematics,10.225,2.1406774628607645,12,0.5305358156561851,0.2076899492591038
negative,Statistics,10.6875,2.0515099760464683,12,0.5340954427917798,0.19660271601035387
negative,Economics,10.845833333333333,2.075994650252931,12,0.5062777211268743,0.22462764301890845
negative,Chemistry,11.220833333333333,1.535557099576765,12,0.5261829942464828,0.1956061054982225
negative,Biology,11.466666666666667,2.1198556268736506,12,0.4894418701529503,0.23988726525647655
negative,Physics,11.520833333333334,2.5113794048593125,12,0.5221929892897607,0.2109677691186124
positive,AI,2.3958333333333335,1.3761703008602157,12,0.731113236149152,0.14493645248973902
positive,Earth_Science,3.170833333333333,1.1324668033130423,12,0.7203831280271212,0.13182334303306983
positive,Mechanical_Engineering,3.795833333333333,1.828369657935891,12,0.7114105314016342,0.13781815229516062
positive,Electrical_Engineering,3.8708333333333336,1.4685271429895226,12,0.7025195325414341,0.1438455775208933
positive,Civil_Engineering,3.9625,2.1387257251159455,12,0.6998658547798793,0.15623362421205236
positive,Computer_Science,4.416666666666667,1.954055611627605,12,0.6981088856856029,0.15896939181457406
positive,Literature,8.095833333333333,1.8682099275331272,12,0.599607464671135,0.19566362362997233
positive,Archaeology,9.258333333333333,2.277641656440168,12,0.5979734405875207,0.19324591351115758
positive,Mathematics,10.283333333333333,2.11502561056204,12,0.5424612830082575,0.2133115487877701
positive,Statistics,10.5875,2.1161849248975466,12,0.55660227338473,0.19526575149762665
positive,Economics,10.895833333333334,2.1251158613690744,12,0.5188957591851552,0.222253133226148
positive,Chemistry,11.258333333333333,1.5103932861304297,12,0.5417977472146353,0.19334803025096128
positive,Physics,11.358333333333334,2.7083904422883323,12,0.5443620627125104,0.20796707873605855
positive,Biology,11.65,1.9798989873223327,12,0.5048302198449771,0.23389359433687845
